strain	season_start	season_end	lbi
A/NewYork/509/1997	1997-07-01	1998-07-01	2.2945
A/NewYork/544/1998	1997-07-01	1998-07-01	1.7567
A/NewYork/530/1998	1997-07-01	1998-07-01	1.9142
A/NewYork/512/1998	1997-07-01	1998-07-01	1.8026
A/NewYork/515/1997	1997-07-01	1998-07-01	2.3259
A/NewYork/524/1997	1997-07-01	1998-07-01	2.1537
A/NewYork/547/1997	1997-07-01	1998-07-01	2.1983
A/NewYork/503/1997	1997-07-01	1998-07-01	2.6723
A/NewYork/508/1997	1997-07-01	1998-07-01	2.3252
A/NewYork/511/1997	1997-07-01	1998-07-01	2.4058
A/NewYork/516/1997	1997-07-01	1998-07-01	2.2647
A/NewYork/513/1997	1997-07-01	1998-07-01	2.2959
A/NewYork/525/1998	1997-07-01	1998-07-01	1.5892
A/NewYork/510/1998	1997-07-01	1998-07-01	1.6970
A/NewYork/531/1998	1997-07-01	1998-07-01	1.6888
A/NewYork/502/1998	1997-07-01	1998-07-01	1.4516
A/NewYork/504/1998	1997-07-01	1998-07-01	2.3240
A/NewYork/549/1998	1997-07-01	1998-07-01	2.0598
A/Malaysia/17392/1998	1997-07-01	1998-07-01	0.4702
A/HongKong/CUHK10660/1998	1997-07-01	1998-07-01	0.8661
A/HongKong/CUHK10537/1998	1997-07-01	1998-07-01	0.8840
A/HongKong/CUHK41757/1997	1997-07-01	1998-07-01	0.9595
A/HongKong/CUHK10756/1998	1997-07-01	1998-07-01	0.8557
A/HongKong/CUHK10958/1998	1997-07-01	1998-07-01	0.7938
A/HongKong/CUHK10960/1998	1997-07-01	1998-07-01	0.7938
A/HongKong/CUHK10186/1998	1997-07-01	1998-07-01	0.9141
A/HongKong/CUHK10216/1998	1997-07-01	1998-07-01	0.9087
A/HongKong/CUHK10276/1998	1997-07-01	1998-07-01	0.9087
A/Malaysia/17332/1998	1997-07-01	1998-07-01	0.5547
A/Malaysia/17230/1998	1997-07-01	1998-07-01	0.5889
A/HongKong/CUHK41222/1997	1997-07-01	1998-07-01	1.1891
A/Malaysia/13094/1997	1997-07-01	1998-07-01	0.5824
A/Malaysia/13329/1997	1997-07-01	1998-07-01	0.5433
A/Malaysia/13246/1997	1997-07-01	1998-07-01	0.5642
A/Taiwan/287/1998	1997-07-01	1998-07-01	0.4113
A/HongKong/CUHK17697/1998	1998-07-01	1999-07-01	0.5585
A/HongKong/CUHK18886/1998	1998-07-01	1999-07-01	0.5650
A/HongKong/CUHK18610/1998	1998-07-01	1999-07-01	0.5728
A/HongKong/CUHK18351/1998	1998-07-01	1999-07-01	0.5951
A/HongKong/CUHK17704/1998	1998-07-01	1999-07-01	0.6475
A/HongKong/CUHK17603/1998	1998-07-01	1999-07-01	0.7195
A/HongKong/CUHK17643/1998	1998-07-01	1999-07-01	0.7117
A/HongKong/CUHK18218/1998	1998-07-01	1999-07-01	0.5527
A/HongKong/CUHK16614/1998	1998-07-01	1999-07-01	0.7051
A/NewYork/332/1999	1998-07-01	1999-07-01	0.5313
A/HongKong/CUHK50552/1998	1998-07-01	1999-07-01	0.5230
A/NewYork/456/1999	1998-07-01	1999-07-01	0.5551
A/NewYork/335/1999	1998-07-01	1999-07-01	0.5408
A/NewYork/458/1999	1998-07-01	1999-07-01	0.5335
A/NewYork/316/1999	1998-07-01	1999-07-01	0.5969
A/NewYork/263/1999	1998-07-01	1999-07-01	0.5600
A/NewYork/250/1998	1998-07-01	1999-07-01	0.6506
A/NewYork/324/1999	1998-07-01	1999-07-01	0.5199
A/NewYork/287/1998	1998-07-01	1999-07-01	0.6150
A/HongKong/CUHK50722/1998	1998-07-01	1999-07-01	0.6885
A/Panama/2007/1999	1998-07-01	1999-07-01	0.8235
A/Panama/2007/1999-egg	1998-07-01	1999-07-01	0.8235
A/NewYork/265/1999	1998-07-01	1999-07-01	0.9223
A/NewYork/315/1999	1998-07-01	1999-07-01	1.0698
A/NewYork/327/1999	1998-07-01	1999-07-01	0.7110
A/NewYork/278/1999	1998-07-01	1999-07-01	0.9082
A/Netherlands/462/1998	1998-07-01	1999-07-01	0.4191
A/HongKong/CUHK17872/1998	1998-07-01	1999-07-01	0.4159
A/NewYork/339/1999	1998-07-01	1999-07-01	0.4638
A/NewYork/448/1998	1998-07-01	1999-07-01	0.5701
A/NewYork/289/1998	1998-07-01	1999-07-01	0.5308
A/NewYork/251/1998	1998-07-01	1999-07-01	0.4448
A/NewYork/460/1999	1998-07-01	1999-07-01	0.4377
A/Netherlands/427/1998	1998-07-01	1999-07-01	0.5978
A/Malaysia/10759/1999	1998-07-01	1999-07-01	0.5003
A/NewYork/452/1999	1998-07-01	1999-07-01	0.5797
A/NewYork/247/1998	1998-07-01	1999-07-01	0.7374
A/NewYork/283/1999	1998-07-01	1999-07-01	0.5350
A/NewYork/277/1999	1998-07-01	1999-07-01	0.6457
A/HongKong/CUHK10100/1999	1998-07-01	1999-07-01	0.6498
A/NewYork/336/1999	1998-07-01	1999-07-01	0.5222
A/NewYork/284/1999	1998-07-01	1999-07-01	0.6023
A/NewYork/337/1999	1998-07-01	1999-07-01	0.6023
A/NewYork/322/1999	1998-07-01	1999-07-01	1.5762
A/NewYork/266/1999	1998-07-01	1999-07-01	1.2369
A/NewYork/286/1999	1998-07-01	1999-07-01	1.5680
A/NewYork/347/1999	1998-07-01	1999-07-01	2.1637
A/NewYork/240/1998	1998-07-01	1999-07-01	2.4586
A/NewYork/262/1999	1998-07-01	1999-07-01	2.0911
A/NewYork/453/1999	1998-07-01	1999-07-01	2.2525
A/NewYork/330/1998	1998-07-01	1999-07-01	2.4298
A/NewYork/256/1998	1998-07-01	1999-07-01	2.4298
A/NewYork/321/1999	1998-07-01	1999-07-01	2.1886
A/NewYork/254/1998	1998-07-01	1999-07-01	2.4535
A/NewYork/398/1999	1998-07-01	1999-07-01	1.5524
A/NewYork/285/1999	1998-07-01	1999-07-01	2.2167
A/NewYork/397/1999	1998-07-01	1999-07-01	1.9858
A/NewYork/459/1999	1998-07-01	1999-07-01	2.1233
A/NewYork/329/1999	1998-07-01	1999-07-01	2.1755
A/NewYork/325/1999	1998-07-01	1999-07-01	1.8733
A/NewYork/288/1999	1998-07-01	1999-07-01	1.8733
A/NewYork/257/1999	1998-07-01	1999-07-01	2.1830
A/NewYork/449/1999	1998-07-01	1999-07-01	2.4393
A/NewYork/450/1999	1998-07-01	1999-07-01	2.3737
A/NewYork/331/1999	1998-07-01	1999-07-01	2.1562
A/NewYork/304/1998	1998-07-01	1999-07-01	2.5885
A/NewYork/249/1998	1998-07-01	1999-07-01	2.9138
A/NewYork/280/1999	1998-07-01	1999-07-01	1.4882
A/NewYork/320/1999	1998-07-01	1999-07-01	1.6369
A/NewYork/253/1999	1998-07-01	1999-07-01	1.6369
A/NewYork/454/1999	1998-07-01	1999-07-01	2.7702
A/NewYork/255/1999	1998-07-01	1999-07-01	2.3043
A/NewYork/260/1999	1998-07-01	1999-07-01	2.2894
A/NewYork/252/1999	1998-07-01	1999-07-01	2.7901
A/NewYork/224/1998	1998-07-01	1999-07-01	3.0806
A/NewYork/282/1999	1998-07-01	1999-07-01	2.3029
A/NewYork/338/1999	1998-07-01	1999-07-01	2.3487
A/NewYork/259/1999	1998-07-01	1999-07-01	2.4422
A/NewYork/248/1999	1998-07-01	1999-07-01	2.4422
A/NewYork/333/1999	1998-07-01	1999-07-01	2.2477
A/NewYork/290/1999	1998-07-01	1999-07-01	2.2328
A/NewYork/328/1998	1998-07-01	1999-07-01	3.1133
A/NewYork/313/1998	1998-07-01	1999-07-01	3.1133
A/NewYork/451/1999	1998-07-01	1999-07-01	2.8698
A/NewYork/317/1999	1998-07-01	1999-07-01	3.0098
A/NewYork/318/1999	1998-07-01	1999-07-01	2.5151
A/NewYork/264/1999	1998-07-01	1999-07-01	2.0849
A/NewYork/314/1999	1998-07-01	1999-07-01	2.5585
A/NewYork/279/1999	1998-07-01	1999-07-01	2.2383
A/NewYork/311/1999	1998-07-01	1999-07-01	2.1947
A/NewYork/261/1999	1998-07-01	1999-07-01	1.7297
A/NewYork/457/1999	1998-07-01	1999-07-01	2.8185
A/NewYork/340/1999	1998-07-01	1999-07-01	2.6693
A/NewYork/326/1999	1998-07-01	1999-07-01	2.7090
A/NewYork/323/1999	1998-07-01	1999-07-01	2.6365
A/HongKong/CUHK17464/1998	1998-07-01	1999-07-01	0.3863
A/HongKong/CUHK18358/1998	1998-07-01	1999-07-01	0.4027
A/HongKong/CUHK17707/1998	1998-07-01	1999-07-01	0.4057
A/HongKong/CUHK18194/1998	1998-07-01	1999-07-01	0.3953
A/NewYork/455/1999	1998-07-01	1999-07-01	0.3950
A/HongKong/CUHK18230/1998	1998-07-01	1999-07-01	0.2691
A/HongKong/CUHK18036/1998	1998-07-01	1999-07-01	0.2691
A/HongKong/CUHK19579/1998	1998-07-01	1999-07-01	0.3988
A/HongKong/CUHK12897/1999	1998-07-01	1999-07-01	0.4139
A/Moscow/10/1999	1998-07-01	1999-07-01	0.4603
A/HongKong/CUHK13763/1999	1998-07-01	1999-07-01	0.5721
A/HongKong/CUHK12580/1999	1998-07-01	1999-07-01	0.5031
A/Moscow/10/1999-egg	1998-07-01	1999-07-01	0.5826
A/HongKong/CUHK12312/1999	1998-07-01	1999-07-01	0.4905
A/HongKong/CUHK10132/1999	1998-07-01	1999-07-01	1.1874
A/HongKong/CUHK10133/1999	1998-07-01	1999-07-01	1.1874
A/HongKong/CUHK11163/1999	1998-07-01	1999-07-01	1.0125
A/HongKong/CUHK11230/1999	1998-07-01	1999-07-01	1.0067
A/HongKong/CUHK12572/1999	1998-07-01	1999-07-01	0.8040
A/HongKong/CUHK11241/1999	1998-07-01	1999-07-01	1.0414
A/HongKong/CUHK11255/1999	1998-07-01	1999-07-01	1.0488
A/HongKong/CUHK11237/1999	1998-07-01	1999-07-01	1.0488
A/HongKong/CUHK10151/1999	1998-07-01	1999-07-01	1.0642
A/HongKong/CUHK14627/1999	1998-07-01	1999-07-01	0.6650
A/HongKong/CUHK14875/1999	1998-07-01	1999-07-01	0.6325
A/HongKong/CUHK14672/1999	1998-07-01	1999-07-01	0.6057
A/Malaysia/17998/1998	1998-07-01	1999-07-01	0.4002
A/Malaysia/18121/1998	1998-07-01	1999-07-01	0.4037
A/Malaysia/18128/1998	1998-07-01	1999-07-01	0.4037
A/HongKong/CUHK33915/1999	1999-07-01	2000-07-01	0.3990
A/NewYork/423/1999	1999-07-01	2000-07-01	0.4723
A/NewYork/145/1999	1999-07-01	2000-07-01	0.4948
A/NewYork/435/2000	1999-07-01	2000-07-01	0.4608
A/NewYork/138/1999	1999-07-01	2000-07-01	0.6188
A/Georgia/NHRC0001/1999	1999-07-01	2000-07-01	0.5963
A/NewYork/137/1999	1999-07-01	2000-07-01	0.6287
A/NewYork/428/1999	1999-07-01	2000-07-01	0.3452
A/Taiwan/511/1999	1999-07-01	2000-07-01	0.4000
A/NewYork/440/2000	1999-07-01	2000-07-01	0.4020
A/NewYork/160/2000	1999-07-01	2000-07-01	0.5766
A/NewYork/161/1999	1999-07-01	2000-07-01	0.6461
A/NewYork/140/1999	1999-07-01	2000-07-01	0.5931
A/NewYork/174/2000	1999-07-01	2000-07-01	0.5737
A/NewYork/184/1999	1999-07-01	2000-07-01	0.5235
A/NelsonMarlborough/1/2000	1999-07-01	2000-07-01	0.4894
A/NewYork/176/2000	1999-07-01	2000-07-01	0.4860
A/NewYork/431/2000	1999-07-01	2000-07-01	0.5460
A/NewYork/429/2000	1999-07-01	2000-07-01	0.5460
A/NewYork/149/1999	1999-07-01	2000-07-01	0.5946
A/NewYork/182/2000	1999-07-01	2000-07-01	0.6177
A/Auckland/583/2000	1999-07-01	2000-07-01	0.6341
A/HongKong/CUHK21128/2000	1999-07-01	2000-07-01	0.6921
A/HongKong/CUHK20173/2000	1999-07-01	2000-07-01	0.8136
A/NewYork/168/2000	1999-07-01	2000-07-01	0.8059
A/NewYork/172/1999	1999-07-01	2000-07-01	0.8523
A/NewYork/169/2000	1999-07-01	2000-07-01	0.8087
A/NewYork/421/1999	1999-07-01	2000-07-01	1.0939
A/NewYork/425/1999	1999-07-01	2000-07-01	1.2003
A/NewYork/178/2000	1999-07-01	2000-07-01	0.8268
A/NewYork/186/1999	1999-07-01	2000-07-01	1.2079
A/NewYork/167/1999	1999-07-01	2000-07-01	1.1079
A/SouthCarolina/NHRC0001/1999	1999-07-01	2000-07-01	1.3302
A/NewYork/436/2000	1999-07-01	2000-07-01	1.0498
A/NewYork/158/2000	1999-07-01	2000-07-01	1.0151
A/NewYork/156/2000	1999-07-01	2000-07-01	1.0982
A/Netherlands/51/2000	1999-07-01	2000-07-01	0.3985
A/NewYork/177/1999	1999-07-01	2000-07-01	0.4292
A/Taiwan/365/1999	1999-07-01	2000-07-01	0.4737
A/HongKong/CUHK31421/1999	1999-07-01	2000-07-01	0.3261
A/HongKong/CUHK31448/1999	1999-07-01	2000-07-01	0.2620
A/HongKong/CUHK31510/1999	1999-07-01	2000-07-01	0.2601
A/HongKong/CUHK32796/1999	1999-07-01	2000-07-01	0.4023
A/HongKong/CUHK33829/1999	1999-07-01	2000-07-01	0.4997
A/HongKong/CUHK34193/1999	1999-07-01	2000-07-01	0.4770
A/HongKong/CUHK33885/1999	1999-07-01	2000-07-01	0.5090
A/HongKong/CUHK30423/1999	1999-07-01	2000-07-01	0.3207
A/HongKong/CUHK30419/1999	1999-07-01	2000-07-01	0.2895
A/Netherlands/3/2000	1999-07-01	2000-07-01	0.4133
A/HongKong/CUHK30605/1999	1999-07-01	2000-07-01	0.6876
A/NewYork/141/1999	1999-07-01	2000-07-01	0.4279
A/HongKong/CUHK30314/1999	1999-07-01	2000-07-01	0.4915
A/Canterbury/2/2000	1999-07-01	2000-07-01	0.8449
A/NewYork/171/1999	1999-07-01	2000-07-01	0.9381
A/HongKong/CUHK22078/2000	1999-07-01	2000-07-01	0.7488
A/NewYork/188/1999	1999-07-01	2000-07-01	1.2279
A/NewYork/148/2000	1999-07-01	2000-07-01	0.9559
A/NewYork/153/1999	1999-07-01	2000-07-01	1.2511
A/HongKong/CUHK22163/2000	1999-07-01	2000-07-01	0.8684
A/NewYork/183/1999	1999-07-01	2000-07-01	1.2993
A/NewYork/427/1999	1999-07-01	2000-07-01	1.1518
A/NewYork/181/1999	1999-07-01	2000-07-01	1.2748
A/NewYork/155/1999	1999-07-01	2000-07-01	1.2629
A/Canterbury/179/1999	1999-07-01	2000-07-01	1.2054
A/NewYork/437/2000	1999-07-01	2000-07-01	1.0736
A/NewYork/432/2000	1999-07-01	2000-07-01	1.1067
A/NewYork/170/2000	1999-07-01	2000-07-01	1.1067
A/NewYork/154/2000	1999-07-01	2000-07-01	1.0474
A/HongKong/CUHK22087/2000	1999-07-01	2000-07-01	0.8974
A/NewYork/151/1999	1999-07-01	2000-07-01	1.2809
A/NewYork/139/1999	1999-07-01	2000-07-01	1.2809
A/HongKong/CUHK20292/2000	1999-07-01	2000-07-01	1.1814
A/HongKong/CUHK21250/2000	1999-07-01	2000-07-01	0.9993
A/NewYork/430/2000	1999-07-01	2000-07-01	1.1957
A/NewYork/185/1999	1999-07-01	2000-07-01	1.2576
A/NewYork/433/2000	1999-07-01	2000-07-01	1.1541
A/NewYork/175/2000	1999-07-01	2000-07-01	1.1469
A/HongKong/CUHK20200/2000	1999-07-01	2000-07-01	1.1541
A/HongKong/CUHK20300/2000	1999-07-01	2000-07-01	1.1191
A/NewYork/422/1999	1999-07-01	2000-07-01	1.2299
A/NewYork/189/1999	1999-07-01	2000-07-01	1.1890
A/NewYork/165/2000	1999-07-01	2000-07-01	1.0594
A/NewYork/187/2000	1999-07-01	2000-07-01	1.1532
A/NewYork/179/1999	1999-07-01	2000-07-01	2.3393
A/Illinois/NHRC0001/1999	1999-07-01	2000-07-01	2.7285
A/NewYork/173/2000	1999-07-01	2000-07-01	2.2115
A/Auckland/600/2000	1999-07-01	2000-07-01	1.3627
A/Canterbury/3/2000	1999-07-01	2000-07-01	1.3697
A/NewYork/147/1999	1999-07-01	2000-07-01	3.3873
A/NewYork/143/1999	1999-07-01	2000-07-01	3.4001
A/Dunedin/3/2000	1999-07-01	2000-07-01	1.9905
A/NewYork/152/2000	1999-07-01	2000-07-01	2.4629
A/Dunedin/1/2000	1999-07-01	2000-07-01	2.4160
A/NewYork/166/1999	1999-07-01	2000-07-01	2.9109
A/NewYork/439/2000	1999-07-01	2000-07-01	2.4151
A/HongKong/CUHK21132/2000	1999-07-01	2000-07-01	2.2173
A/HongKong/CUHK20294/2000	1999-07-01	2000-07-01	2.6165
A/NewYork/164/1999	1999-07-01	2000-07-01	2.9141
A/NewYork/180/2000	1999-07-01	2000-07-01	2.2179
A/NewYork/162/2000	1999-07-01	2000-07-01	2.2232
A/HongKong/CUHK20169/2000	1999-07-01	2000-07-01	2.7594
A/NewYork/150/2000	1999-07-01	2000-07-01	2.3978
A/NewYork/438/2000	1999-07-01	2000-07-01	2.5052
A/NewYork/424/1999	1999-07-01	2000-07-01	3.1191
A/HongKong/CUHK21124/2000	1999-07-01	2000-07-01	2.3082
A/NewYork/142/2000	1999-07-01	2000-07-01	2.2795
A/NewYork/434/2000	1999-07-01	2000-07-01	2.6969
A/NewYork/163/1999	1999-07-01	2000-07-01	3.0442
A/NewYork/426/1999	1999-07-01	2000-07-01	3.0882
A/NewYork/157/1999	1999-07-01	2000-07-01	3.2024
A/Missouri/NHRC0001/2000	1999-07-01	2000-07-01	2.2520
A/Netherlands/197/2000	1999-07-01	2000-07-01	0.4000
A/Taiwan/429/1999	1999-07-01	2000-07-01	0.3838
A/HongKong/CUHK31490/1999	1999-07-01	2000-07-01	0.3842
A/HongKong/CUHK22162/2000	1999-07-01	2000-07-01	0.4065
A/HongKong/CUHK22072/2000	1999-07-01	2000-07-01	1.0208
A/HongKong/CUHK13658/2001	2000-07-01	2001-07-01	0.5281
A/NewYork/301/2001	2000-07-01	2001-07-01	0.8480
A/Netherlands/118/2001	2000-07-01	2001-07-01	0.7096
A/Waikato/8/2000	2000-07-01	2001-07-01	0.4452
A/Queensland/2/2000	2000-07-01	2001-07-01	0.4781
A/Canterbury/50/2000	2000-07-01	2001-07-01	0.7930
A/Canterbury/98/2000	2000-07-01	2001-07-01	0.5837
A/Canterbury/93/2000	2000-07-01	2001-07-01	0.5953
A/Canterbury/94/2000	2000-07-01	2001-07-01	0.5730
A/Waikato/7/2000	2000-07-01	2001-07-01	0.7303
A/HongKong/CUHK27348/2000	2000-07-01	2001-07-01	0.9095
A/Auckland/599/2000	2000-07-01	2001-07-01	1.1334
A/WesternAustralia/7/2000	2000-07-01	2001-07-01	1.1915
A/Waikato/17/2000	2000-07-01	2001-07-01	1.1334
A/WesternAustralia/2/2000	2000-07-01	2001-07-01	1.1437
A/WesternAustralia/11/2000	2000-07-01	2001-07-01	1.0300
A/WesternAustralia/1/2000	2000-07-01	2001-07-01	1.1860
A/Canterbury/71/2000	2000-07-01	2001-07-01	1.1752
A/Canterbury/67/2000	2000-07-01	2001-07-01	1.2237
A/Queensland/8/2000	2000-07-01	2001-07-01	1.2544
A/Canterbury/101/2000	2000-07-01	2001-07-01	0.9849
A/WesternAustralia/4/2000	2000-07-01	2001-07-01	1.1233
A/Canterbury/75/2000	2000-07-01	2001-07-01	1.1585
A/Canterbury/17/2000	2000-07-01	2001-07-01	1.5475
A/Canterbury/42/2000	2000-07-01	2001-07-01	1.4007
A/Canterbury/39/2000	2000-07-01	2001-07-01	1.3937
A/Canterbury/73/2000	2000-07-01	2001-07-01	1.2300
A/Wellington/9/2000	2000-07-01	2001-07-01	1.5123
A/Auckland/588/2000	2000-07-01	2001-07-01	1.2515
A/Canterbury/64/2000	2000-07-01	2001-07-01	1.4274
A/Canterbury/88/2000	2000-07-01	2001-07-01	1.2062
A/Auckland/589/2000	2000-07-01	2001-07-01	1.2366
A/HongKong/CUHK22644/2001	2000-07-01	2001-07-01	0.7954
A/Taiwan/124/2001	2000-07-01	2001-07-01	0.9138
A/HongKong/CUHK21733/2001	2000-07-01	2001-07-01	0.9008
A/HongKong/CUHK21675/2001	2000-07-01	2001-07-01	0.9712
A/HongKong/CUHK21421/2001	2000-07-01	2001-07-01	1.0809
A/HongKong/CUHK21891/2001	2000-07-01	2001-07-01	0.9928
A/Waikato/1/2001	2000-07-01	2001-07-01	1.1275
A/Canterbury/10/2001	2000-07-01	2001-07-01	0.9032
A/Queensland/9/2000	2000-07-01	2001-07-01	1.2976
A/WesternAustralia/5/2000	2000-07-01	2001-07-01	1.5058
A/WesternAustralia/3/2000	2000-07-01	2001-07-01	1.6405
A/Canterbury/68/2000	2000-07-01	2001-07-01	1.6787
A/Auckland/601/2000	2000-07-01	2001-07-01	1.6448
A/Canterbury/90/2000	2000-07-01	2001-07-01	1.5252
A/Canterbury/89/2000	2000-07-01	2001-07-01	1.5641
A/Waikato/4/2000	2000-07-01	2001-07-01	2.0646
A/Canterbury/85/2000	2000-07-01	2001-07-01	1.7869
A/Queensland/1/2000	2000-07-01	2001-07-01	1.8729
A/Canterbury/99/2000	2000-07-01	2001-07-01	1.4634
A/Auckland/596/2000	2000-07-01	2001-07-01	1.4361
A/Canterbury/103/2000	2000-07-01	2001-07-01	1.2285
A/Wellington/30/2000	2000-07-01	2001-07-01	1.2568
A/WesternAustralia/9/2000	2000-07-01	2001-07-01	1.5345
A/WesternAustralia/10/2000	2000-07-01	2001-07-01	1.4340
A/Auckland/598/2000	2000-07-01	2001-07-01	1.5279
A/WesternAustralia/12/2000	2000-07-01	2001-07-01	1.5088
A/Canterbury/92/2000	2000-07-01	2001-07-01	1.5002
A/Auckland/593/2000	2000-07-01	2001-07-01	1.5289
A/Canterbury/66/2000	2000-07-01	2001-07-01	1.7369
A/Waikato/5/2000	2000-07-01	2001-07-01	1.8578
A/Canterbury/97/2000	2000-07-01	2001-07-01	1.3422
A/Waikato/20/2000	2000-07-01	2001-07-01	1.4772
A/Canterbury/96/2000	2000-07-01	2001-07-01	1.3540
A/WesternAustralia/8/2000	2000-07-01	2001-07-01	1.4196
A/Canterbury/38/2000	2000-07-01	2001-07-01	1.9099
