strain	season_start	season_end	lbi
A/Malaysia/12132/1997	1996-07-01	1997-07-01	1.1117
A/HongKong/CUHK20213/1997	1997-07-01	1998-07-01	0.3834
A/Taiwan/317/1998	1997-07-01	1998-07-01	0.3740
A/Malaysia/13241/1997	1997-07-01	1998-07-01	0.1617
A/Netherlands/5/1998	1997-07-01	1998-07-01	0.4668
A/NewYork/541/1998	1997-07-01	1998-07-01	0.4398
A/NewYork/521/1998	1997-07-01	1998-07-01	0.4552
A/NewYork/518/1998	1997-07-01	1998-07-01	0.4625
A/HongKong/CUHK20217/1997	1997-07-01	1998-07-01	0.8610
A/HongKong/CUHK22185/1997	1997-07-01	1998-07-01	0.7077
A/HongKong/CUHK22048/1997	1997-07-01	1998-07-01	0.7209
A/HongKong/CUHK20199/1997	1997-07-01	1998-07-01	0.8512
A/HongKong/CUHK20236/1997	1997-07-01	1998-07-01	0.8679
A/HongKong/CUHK20731/1997	1997-07-01	1998-07-01	0.7368
A/HongKong/CUHK20992/1997	1997-07-01	1998-07-01	0.7287
A/HongKong/CUHK22013/1997	1997-07-01	1998-07-01	0.7252
A/HongKong/CUHK20320/1997	1997-07-01	1998-07-01	0.8759
A/Taiwan/1335/1997	1997-07-01	1998-07-01	0.8029
A/HongKong/CUHK22736/1997	1997-07-01	1998-07-01	0.6673
A/NewYork/526/1997	1997-07-01	1998-07-01	2.1792
A/HongKong/CUHK10632/1998	1997-07-01	1998-07-01	1.9724
A/NewYork/507/1997	1997-07-01	1998-07-01	2.3538
A/NewYork/542/1998	1997-07-01	1998-07-01	1.5961
A/NewYork/534/1998	1997-07-01	1998-07-01	1.8020
A/NewYork/523/1998	1997-07-01	1998-07-01	1.7600
A/NewYork/543/1998	1997-07-01	1998-07-01	1.6142
A/NewYork/519/1998	1997-07-01	1998-07-01	1.6588
A/NewYork/514/1998	1997-07-01	1998-07-01	1.9967
A/NewYork/509/1997	1997-07-01	1998-07-01	2.3092
A/NewYork/544/1998	1997-07-01	1998-07-01	1.7678
A/NewYork/530/1998	1997-07-01	1998-07-01	1.9145
A/NewYork/512/1998	1997-07-01	1998-07-01	1.8031
A/NewYork/515/1997	1997-07-01	1998-07-01	2.3266
A/NewYork/547/1997	1997-07-01	1998-07-01	2.1981
A/NewYork/524/1997	1997-07-01	1998-07-01	2.1536
A/NewYork/503/1997	1997-07-01	1998-07-01	2.6522
A/NewYork/508/1997	1997-07-01	1998-07-01	2.2846
A/NewYork/511/1997	1997-07-01	1998-07-01	2.3637
A/NewYork/516/1997	1997-07-01	1998-07-01	2.2810
A/NewYork/513/1997	1997-07-01	1998-07-01	2.3124
A/NewYork/549/1998	1997-07-01	1998-07-01	2.0356
A/NewYork/510/1998	1997-07-01	1998-07-01	1.6679
A/NewYork/504/1998	1997-07-01	1998-07-01	2.3482
A/NewYork/502/1998	1997-07-01	1998-07-01	1.4448
A/NewYork/525/1998	1997-07-01	1998-07-01	1.5986
A/NewYork/531/1998	1997-07-01	1998-07-01	1.6865
A/HongKong/CUHK20523/1997	1997-07-01	1998-07-01	0.4027
A/HongKong/CUHK41507/1997	1997-07-01	1998-07-01	0.8894
A/HongKong/CUHK41459/1997	1997-07-01	1998-07-01	0.8944
A/HongKong/CUHK41114/1997	1997-07-01	1998-07-01	0.9206
A/NewYork/517/1998	1997-07-01	1998-07-01	0.8584
A/NewYork/539/1998	1997-07-01	1998-07-01	0.7487
A/HongKong/CUHK10554/1998	1997-07-01	1998-07-01	0.9174
A/HongKong/CUHK10954/1998	1997-07-01	1998-07-01	0.8496
A/NewYork/522/1997	1997-07-01	1998-07-01	0.9209
A/NewYork/546/1998	1997-07-01	1998-07-01	0.8330
A/NewYork/548/1998	1997-07-01	1998-07-01	0.7840
A/NewYork/520/1998	1997-07-01	1998-07-01	0.9275
A/NewYork/505/1997	1997-07-01	1998-07-01	1.2026
A/NewYork/506/1998	1997-07-01	1998-07-01	0.8560
A/NewYork/528/1998	1997-07-01	1998-07-01	0.8635
A/NewYork/532/1998	1997-07-01	1998-07-01	0.8192
A/Auckland/10/1997	1997-07-01	1998-07-01	2.2226
A/NewYork/529/1998	1997-07-01	1998-07-01	0.7994
A/Sydney/5/1997	1997-07-01	1998-07-01	1.1681
A/Sydney/5/1997-egg	1997-07-01	1998-07-01	1.1681
A/NewYork/533/1998	1997-07-01	1998-07-01	0.9314
A/NewYork/540/1998	1997-07-01	1998-07-01	1.0152
A/Netherlands/300/1997	1997-07-01	1998-07-01	1.4296
A/NewYork/527/1998	1997-07-01	1998-07-01	1.1598
A/NewYork/545/1997	1997-07-01	1998-07-01	1.8090
A/NewYork/536/1998	1997-07-01	1998-07-01	1.4368
A/NewYork/538/1998	1997-07-01	1998-07-01	1.3972
A/NewYork/550/1998	1997-07-01	1998-07-01	1.5128
A/NewYork/535/1998	1997-07-01	1998-07-01	1.2227
A/NewYork/501/1997	1997-07-01	1998-07-01	2.2177
A/Malaysia/17392/1998	1997-07-01	1998-07-01	0.4597
A/HongKong/CUHK10537/1998	1997-07-01	1998-07-01	0.6923
A/HongKong/CUHK10660/1998	1997-07-01	1998-07-01	0.6780
A/HongKong/CUHK10958/1998	1997-07-01	1998-07-01	0.8696
A/HongKong/CUHK10960/1998	1997-07-01	1998-07-01	0.8696
A/HongKong/CUHK41757/1997	1997-07-01	1998-07-01	1.0324
A/HongKong/CUHK10756/1998	1997-07-01	1998-07-01	0.9163
A/HongKong/CUHK10216/1998	1997-07-01	1998-07-01	0.9969
A/HongKong/CUHK10186/1998	1997-07-01	1998-07-01	1.0037
A/HongKong/CUHK10276/1998	1997-07-01	1998-07-01	0.9969
A/Malaysia/17332/1998	1997-07-01	1998-07-01	0.6107
A/Malaysia/17230/1998	1997-07-01	1998-07-01	0.6554
A/HongKong/CUHK41222/1997	1997-07-01	1998-07-01	1.3763
A/Malaysia/13094/1997	1997-07-01	1998-07-01	0.5647
A/Malaysia/13246/1997	1997-07-01	1998-07-01	0.5492
A/Malaysia/13329/1997	1997-07-01	1998-07-01	0.5296
A/Taiwan/287/1998	1997-07-01	1998-07-01	0.4097
A/HongKong/CUHK17697/1998	1998-07-01	1999-07-01	0.5780
A/HongKong/CUHK18886/1998	1998-07-01	1999-07-01	0.5566
A/HongKong/CUHK18351/1998	1998-07-01	1999-07-01	0.5850
A/HongKong/CUHK17704/1998	1998-07-01	1999-07-01	0.6360
A/HongKong/CUHK18610/1998	1998-07-01	1999-07-01	0.6075
A/HongKong/CUHK18218/1998	1998-07-01	1999-07-01	0.6331
A/HongKong/CUHK16614/1998	1998-07-01	1999-07-01	0.8611
A/HongKong/CUHK17603/1998	1998-07-01	1999-07-01	0.7105
A/HongKong/CUHK17643/1998	1998-07-01	1999-07-01	0.7022
A/NewYork/332/1999	1998-07-01	1999-07-01	0.5378
A/NewYork/456/1999	1998-07-01	1999-07-01	0.4688
A/NewYork/335/1999	1998-07-01	1999-07-01	0.4570
A/NewYork/458/1999	1998-07-01	1999-07-01	0.4508
A/HongKong/CUHK50552/1998	1998-07-01	1999-07-01	0.6359
A/NewYork/250/1998	1998-07-01	1999-07-01	0.7487
A/NewYork/324/1999	1998-07-01	1999-07-01	0.5875
A/NewYork/287/1998	1998-07-01	1999-07-01	0.6969
A/NewYork/316/1999	1998-07-01	1999-07-01	0.7399
A/NewYork/263/1999	1998-07-01	1999-07-01	0.6891
A/HongKong/CUHK50722/1998	1998-07-01	1999-07-01	0.7385
A/Panama/2007/1999	1998-07-01	1999-07-01	0.8263
A/Panama/2007/1999-egg	1998-07-01	1999-07-01	0.8263
A/NewYork/278/1999	1998-07-01	1999-07-01	0.8979
A/NewYork/265/1999	1998-07-01	1999-07-01	0.9334
A/NewYork/327/1999	1998-07-01	1999-07-01	0.7069
A/NewYork/315/1999	1998-07-01	1999-07-01	1.0839
A/Netherlands/462/1998	1998-07-01	1999-07-01	0.4211
A/NewYork/251/1998	1998-07-01	1999-07-01	0.4194
A/HongKong/CUHK17872/1998	1998-07-01	1999-07-01	0.4107
A/NewYork/339/1999	1998-07-01	1999-07-01	0.4663
A/NewYork/448/1998	1998-07-01	1999-07-01	0.5727
A/NewYork/289/1998	1998-07-01	1999-07-01	0.5333
A/NewYork/460/1999	1998-07-01	1999-07-01	0.5134
A/Netherlands/427/1998	1998-07-01	1999-07-01	0.7177
A/Malaysia/10759/1999	1998-07-01	1999-07-01	0.5778
A/NewYork/452/1999	1998-07-01	1999-07-01	0.6035
A/NewYork/247/1998	1998-07-01	1999-07-01	0.7762
A/NewYork/283/1999	1998-07-01	1999-07-01	0.5984
A/NewYork/277/1999	1998-07-01	1999-07-01	0.7124
A/HongKong/CUHK10100/1999	1998-07-01	1999-07-01	0.7165
A/NewYork/336/1999	1998-07-01	1999-07-01	0.5243
A/NewYork/284/1999	1998-07-01	1999-07-01	0.9613
A/NewYork/337/1999	1998-07-01	1999-07-01	0.9613
A/NewYork/453/1999	1998-07-01	1999-07-01	2.2695
A/NewYork/322/1999	1998-07-01	1999-07-01	1.5871
A/NewYork/266/1999	1998-07-01	1999-07-01	1.2448
A/NewYork/240/1998	1998-07-01	1999-07-01	2.4773
A/NewYork/286/1999	1998-07-01	1999-07-01	1.5789
A/NewYork/347/1999	1998-07-01	1999-07-01	2.1799
A/NewYork/262/1999	1998-07-01	1999-07-01	2.1066
A/NewYork/321/1999	1998-07-01	1999-07-01	2.2051
A/NewYork/254/1998	1998-07-01	1999-07-01	2.4719
A/NewYork/398/1999	1998-07-01	1999-07-01	1.5482
A/NewYork/285/1999	1998-07-01	1999-07-01	2.2287
A/NewYork/397/1999	1998-07-01	1999-07-01	2.0004
A/NewYork/459/1999	1998-07-01	1999-07-01	2.1389
A/NewYork/330/1998	1998-07-01	1999-07-01	2.4483
A/NewYork/256/1998	1998-07-01	1999-07-01	2.4483
A/NewYork/329/1999	1998-07-01	1999-07-01	2.1858
A/NewYork/325/1999	1998-07-01	1999-07-01	1.8844
A/NewYork/288/1999	1998-07-01	1999-07-01	1.8844
A/NewYork/257/1999	1998-07-01	1999-07-01	2.1960
A/NewYork/449/1999	1998-07-01	1999-07-01	2.4357
A/NewYork/450/1999	1998-07-01	1999-07-01	2.3701
A/NewYork/249/1998	1998-07-01	1999-07-01	2.9197
A/NewYork/304/1998	1998-07-01	1999-07-01	2.5934
A/NewYork/331/1999	1998-07-01	1999-07-01	2.1600
A/NewYork/280/1999	1998-07-01	1999-07-01	1.4959
A/NewYork/320/1999	1998-07-01	1999-07-01	1.6494
A/NewYork/253/1999	1998-07-01	1999-07-01	1.6494
A/NewYork/454/1999	1998-07-01	1999-07-01	2.7523
A/NewYork/326/1999	1998-07-01	1999-07-01	2.6067
A/NewYork/252/1999	1998-07-01	1999-07-01	2.7888
A/NewYork/260/1999	1998-07-01	1999-07-01	2.2846
A/NewYork/328/1998	1998-07-01	1999-07-01	3.0457
A/NewYork/313/1998	1998-07-01	1999-07-01	3.0457
A/NewYork/224/1998	1998-07-01	1999-07-01	3.0863
A/NewYork/290/1999	1998-07-01	1999-07-01	2.2262
A/NewYork/333/1999	1998-07-01	1999-07-01	2.2406
A/NewYork/248/1999	1998-07-01	1999-07-01	2.6663
A/NewYork/259/1999	1998-07-01	1999-07-01	2.6663
A/NewYork/282/1999	1998-07-01	1999-07-01	2.5292
A/NewYork/255/1999	1998-07-01	1999-07-01	2.5460
A/NewYork/451/1999	1998-07-01	1999-07-01	3.0752
A/NewYork/317/1999	1998-07-01	1999-07-01	3.2254
A/NewYork/318/1999	1998-07-01	1999-07-01	2.6867
A/NewYork/264/1999	1998-07-01	1999-07-01	2.2256
A/NewYork/338/1999	1998-07-01	1999-07-01	2.5712
A/NewYork/314/1999	1998-07-01	1999-07-01	2.6580
A/NewYork/340/1999	1998-07-01	1999-07-01	2.8420
A/NewYork/457/1999	1998-07-01	1999-07-01	3.0009
A/NewYork/261/1999	1998-07-01	1999-07-01	1.8272
A/NewYork/311/1999	1998-07-01	1999-07-01	2.3221
A/NewYork/279/1999	1998-07-01	1999-07-01	2.3778
A/NewYork/323/1999	1998-07-01	1999-07-01	2.8844
A/HongKong/CUHK17464/1998	1998-07-01	1999-07-01	0.4231
A/HongKong/CUHK18358/1998	1998-07-01	1999-07-01	0.4322
A/HongKong/CUHK17707/1998	1998-07-01	1999-07-01	0.4401
A/HongKong/CUHK18194/1998	1998-07-01	1999-07-01	0.3958
A/NewYork/455/1999	1998-07-01	1999-07-01	0.3952
A/HongKong/CUHK18230/1998	1998-07-01	1999-07-01	0.4514
A/HongKong/CUHK18036/1998	1998-07-01	1999-07-01	0.4672
A/HongKong/CUHK19579/1998	1998-07-01	1999-07-01	0.4011
A/HongKong/CUHK14627/1999	1998-07-01	1999-07-01	0.5662
A/HongKong/CUHK14875/1999	1998-07-01	1999-07-01	0.5530
A/HongKong/CUHK10151/1999	1998-07-01	1999-07-01	0.8835
A/HongKong/CUHK14672/1999	1998-07-01	1999-07-01	0.5163
A/Moscow/10/1999-egg	1998-07-01	1999-07-01	0.6437
A/Moscow/10/1999	1998-07-01	1999-07-01	0.6367
A/HongKong/CUHK12312/1999	1998-07-01	1999-07-01	0.5907
A/HongKong/CUHK12580/1999	1998-07-01	1999-07-01	0.5987
A/HongKong/CUHK10133/1999	1998-07-01	1999-07-01	1.0982
A/HongKong/CUHK10132/1999	1998-07-01	1999-07-01	1.0982
A/HongKong/CUHK11163/1999	1998-07-01	1999-07-01	0.9468
A/HongKong/CUHK11230/1999	1998-07-01	1999-07-01	0.9414
A/HongKong/CUHK12572/1999	1998-07-01	1999-07-01	0.7627
A/HongKong/CUHK11241/1999	1998-07-01	1999-07-01	0.9836
A/HongKong/CUHK11255/1999	1998-07-01	1999-07-01	0.9908
A/HongKong/CUHK11237/1999	1998-07-01	1999-07-01	0.9908
A/Malaysia/17998/1998	1998-07-01	1999-07-01	0.4111
A/Malaysia/18128/1998	1998-07-01	1999-07-01	0.4153
A/Malaysia/18121/1998	1998-07-01	1999-07-01	0.4153
A/HongKong/CUHK13763/1999	1998-07-01	1999-07-01	0.4334
A/HongKong/CUHK12897/1999	1998-07-01	1999-07-01	0.4118
A/HongKong/CUHK33915/1999	1999-07-01	2000-07-01	0.3990
A/NewYork/435/2000	1999-07-01	2000-07-01	0.4606
A/NewYork/145/1999	1999-07-01	2000-07-01	0.4946
A/NewYork/423/1999	1999-07-01	2000-07-01	0.4721
A/NewYork/138/1999	1999-07-01	2000-07-01	0.6185
A/Georgia/NHRC0001/1999	1999-07-01	2000-07-01	0.5960
A/NewYork/137/1999	1999-07-01	2000-07-01	0.6284
A/NewYork/428/1999	1999-07-01	2000-07-01	0.3452
A/HongKong/CUHK30419/1999	1999-07-01	2000-07-01	0.0621
A/HongKong/CUHK30314/1999	1999-07-01	2000-07-01	0.3867
A/HongKong/CUHK30605/1999	1999-07-01	2000-07-01	0.5792
A/NewYork/141/1999	1999-07-01	2000-07-01	0.3893
A/HongKong/CUHK32796/1999	1999-07-01	2000-07-01	0.3981
A/HongKong/CUHK33829/1999	1999-07-01	2000-07-01	0.4951
A/HongKong/CUHK34193/1999	1999-07-01	2000-07-01	0.4732
A/HongKong/CUHK33885/1999	1999-07-01	2000-07-01	0.5049
A/Netherlands/3/2000	1999-07-01	2000-07-01	0.4009
A/Netherlands/197/2000	1999-07-01	2000-07-01	0.4003
A/HongKong/CUHK30423/1999	1999-07-01	2000-07-01	0.2996
A/Canterbury/2/2000	1999-07-01	2000-07-01	0.8698
A/NewYork/171/1999	1999-07-01	2000-07-01	0.9666
A/HongKong/CUHK22078/2000	1999-07-01	2000-07-01	0.7691
A/NewYork/155/1999	1999-07-01	2000-07-01	1.2953
A/NewYork/181/1999	1999-07-01	2000-07-01	1.3077
A/NewYork/188/1999	1999-07-01	2000-07-01	1.2590
A/NewYork/153/1999	1999-07-01	2000-07-01	1.2830
A/NewYork/437/2000	1999-07-01	2000-07-01	1.0989
A/NewYork/432/2000	1999-07-01	2000-07-01	1.1333
A/NewYork/427/1999	1999-07-01	2000-07-01	1.1801
A/NewYork/183/1999	1999-07-01	2000-07-01	1.3330
A/NewYork/170/2000	1999-07-01	2000-07-01	1.1333
A/HongKong/CUHK22163/2000	1999-07-01	2000-07-01	0.8860
A/NewYork/148/2000	1999-07-01	2000-07-01	0.9768
A/Canterbury/179/1999	1999-07-01	2000-07-01	1.2357
A/NewYork/430/2000	1999-07-01	2000-07-01	1.2226
A/NewYork/185/1999	1999-07-01	2000-07-01	1.2862
A/HongKong/CUHK20292/2000	1999-07-01	2000-07-01	1.2069
A/HongKong/CUHK21250/2000	1999-07-01	2000-07-01	1.0202
A/NewYork/433/2000	1999-07-01	2000-07-01	1.1806
A/NewYork/175/2000	1999-07-01	2000-07-01	1.1733
A/NewYork/422/1999	1999-07-01	2000-07-01	1.2606
A/NewYork/189/1999	1999-07-01	2000-07-01	1.2186
A/NewYork/151/1999	1999-07-01	2000-07-01	1.3140
A/NewYork/139/1999	1999-07-01	2000-07-01	1.3140
A/HongKong/CUHK20200/2000	1999-07-01	2000-07-01	1.1827
A/HongKong/CUHK20300/2000	1999-07-01	2000-07-01	1.1470
A/NewYork/154/2000	1999-07-01	2000-07-01	1.0705
A/HongKong/CUHK22087/2000	1999-07-01	2000-07-01	0.9152
A/NewYork/165/2000	1999-07-01	2000-07-01	1.0824
A/NewYork/187/2000	1999-07-01	2000-07-01	1.0663
A/Auckland/600/2000	1999-07-01	2000-07-01	0.9710
A/Canterbury/3/2000	1999-07-01	2000-07-01	0.9753
A/NewYork/179/1999	1999-07-01	2000-07-01	3.0234
A/Illinois/NHRC0001/1999	1999-07-01	2000-07-01	3.5293
A/NewYork/166/1999	1999-07-01	2000-07-01	2.5067
A/NewYork/143/1999	1999-07-01	2000-07-01	3.0328
A/NewYork/147/1999	1999-07-01	2000-07-01	3.2190
A/NewYork/152/2000	1999-07-01	2000-07-01	2.2847
A/Dunedin/1/2000	1999-07-01	2000-07-01	2.2628
A/NewYork/164/1999	1999-07-01	2000-07-01	2.6733
A/NewYork/439/2000	1999-07-01	2000-07-01	2.2342
A/HongKong/CUHK21132/2000	1999-07-01	2000-07-01	2.1033
A/HongKong/CUHK21124/2000	1999-07-01	2000-07-01	2.1510
A/HongKong/CUHK20294/2000	1999-07-01	2000-07-01	2.4912
A/HongKong/CUHK20169/2000	1999-07-01	2000-07-01	2.5772
A/NewYork/180/2000	1999-07-01	2000-07-01	2.1051
A/NewYork/150/2000	1999-07-01	2000-07-01	2.2816
A/NewYork/162/2000	1999-07-01	2000-07-01	2.1234
A/NewYork/142/2000	1999-07-01	2000-07-01	2.1662
A/NewYork/173/2000	1999-07-01	2000-07-01	2.2107
A/Dunedin/3/2000	1999-07-01	2000-07-01	1.9664
A/NewYork/438/2000	1999-07-01	2000-07-01	2.3923
A/NewYork/424/1999	1999-07-01	2000-07-01	2.9776
A/NewYork/434/2000	1999-07-01	2000-07-01	2.5449
A/NewYork/163/1999	1999-07-01	2000-07-01	2.8723
A/NewYork/426/1999	1999-07-01	2000-07-01	2.9128
A/NewYork/157/1999	1999-07-01	2000-07-01	3.0197
A/Missouri/NHRC0001/2000	1999-07-01	2000-07-01	2.1257
A/HongKong/CUHK31421/1999	1999-07-01	2000-07-01	0.2722
A/HongKong/CUHK31510/1999	1999-07-01	2000-07-01	0.3837
A/HongKong/CUHK31448/1999	1999-07-01	2000-07-01	0.3841
A/NewYork/440/2000	1999-07-01	2000-07-01	0.4017
A/NewYork/160/2000	1999-07-01	2000-07-01	0.5742
A/NewYork/161/1999	1999-07-01	2000-07-01	0.6435
A/NewYork/140/1999	1999-07-01	2000-07-01	0.5925
A/NewYork/174/2000	1999-07-01	2000-07-01	0.5730
A/NewYork/176/2000	1999-07-01	2000-07-01	0.4731
A/NewYork/184/1999	1999-07-01	2000-07-01	0.5720
A/NelsonMarlborough/1/2000	1999-07-01	2000-07-01	0.5248
A/NewYork/149/1999	1999-07-01	2000-07-01	0.6019
A/NewYork/429/2000	1999-07-01	2000-07-01	0.5785
A/NewYork/431/2000	1999-07-01	2000-07-01	0.5925
A/NewYork/182/2000	1999-07-01	2000-07-01	0.7244
A/Auckland/583/2000	1999-07-01	2000-07-01	0.7421
A/HongKong/CUHK21128/2000	1999-07-01	2000-07-01	0.8657
A/HongKong/CUHK20173/2000	1999-07-01	2000-07-01	1.0255
A/NewYork/168/2000	1999-07-01	2000-07-01	1.0184
A/NewYork/172/1999	1999-07-01	2000-07-01	1.0745
A/NewYork/169/2000	1999-07-01	2000-07-01	1.0184
A/NewYork/421/1999	1999-07-01	2000-07-01	1.1861
A/NewYork/425/1999	1999-07-01	2000-07-01	1.3018
A/SouthCarolina/NHRC0001/1999	1999-07-01	2000-07-01	1.4415
A/NewYork/167/1999	1999-07-01	2000-07-01	1.1963
A/NewYork/178/2000	1999-07-01	2000-07-01	0.8919
A/NewYork/186/1999	1999-07-01	2000-07-01	1.3151
A/NewYork/436/2000	1999-07-01	2000-07-01	1.1543
A/NewYork/158/2000	1999-07-01	2000-07-01	1.1100
A/NewYork/156/2000	1999-07-01	2000-07-01	1.2021
A/Netherlands/51/2000	1999-07-01	2000-07-01	0.3982
A/NewYork/177/1999	1999-07-01	2000-07-01	0.4331
A/Taiwan/365/1999	1999-07-01	2000-07-01	0.4852
A/Taiwan/511/1999	1999-07-01	2000-07-01	0.3998
A/Taiwan/429/1999	1999-07-01	2000-07-01	0.3835
A/HongKong/CUHK31490/1999	1999-07-01	2000-07-01	0.3838
A/HongKong/CUHK22162/2000	1999-07-01	2000-07-01	0.4061
A/HongKong/CUHK22072/2000	1999-07-01	2000-07-01	0.9836
A/HongKong/CUHK13658/2001	2000-07-01	2001-07-01	0.5036
A/NewYork/301/2001	2000-07-01	2001-07-01	0.8231
A/Netherlands/118/2001	2000-07-01	2001-07-01	0.6901
A/Hutt/82/2000	2000-07-01	2001-07-01	0.3947
A/Waikato/9/2000	2000-07-01	2001-07-01	0.4904
A/Waikato/16/2000	2000-07-01	2001-07-01	0.4786
A/Canterbury/62/2000	2000-07-01	2001-07-01	0.5464
A/Canterbury/61/2000	2000-07-01	2001-07-01	0.5390
A/Netherlands/124/2001	2000-07-01	2001-07-01	0.4204
A/Waikato/5/2001	2000-07-01	2001-07-01	0.4156
A/HongKong/CUHK52247/2000	2000-07-01	2001-07-01	0.9739
A/HongKong/CUHK13172/2001	2000-07-01	2001-07-01	0.7813
A/Canterbury/6/2001	2000-07-01	2001-07-01	0.6618
A/Canterbury/7/2001	2000-07-01	2001-07-01	0.5833
A/HongKong/CUHK13033/2001	2000-07-01	2001-07-01	0.3988
A/Queensland/5/2000	2000-07-01	2001-07-01	0.3963
A/Canterbury/80/2000	2000-07-01	2001-07-01	0.4406
A/Canterbury/84/2000	2000-07-01	2001-07-01	0.4378
A/Canterbury/81/2000	2000-07-01	2001-07-01	0.4433
A/Canterbury/55/2000	2000-07-01	2001-07-01	0.3874
A/Waikato/6/2000	2000-07-01	2001-07-01	0.3806
A/Queensland/7/2000	2000-07-01	2001-07-01	0.3905
A/Queensland/3/2000	2000-07-01	2001-07-01	0.4245
A/Queensland/4/2000	2000-07-01	2001-07-01	0.4217
A/Waikato/8/2000	2000-07-01	2001-07-01	0.4483
A/Queensland/2/2000	2000-07-01	2001-07-01	0.4833
A/Canterbury/50/2000	2000-07-01	2001-07-01	0.7566
A/Canterbury/93/2000	2000-07-01	2001-07-01	0.6250
A/Canterbury/98/2000	2000-07-01	2001-07-01	0.6127
A/Canterbury/94/2000	2000-07-01	2001-07-01	0.6021
A/Waikato/7/2000	2000-07-01	2001-07-01	0.7691
A/HongKong/CUHK27348/2000	2000-07-01	2001-07-01	0.8949
A/WesternAustralia/1/2000	2000-07-01	2001-07-01	1.1763
A/Waikato/17/2000	2000-07-01	2001-07-01	1.1244
A/WesternAustralia/2/2000	2000-07-01	2001-07-01	1.1345
A/WesternAustralia/11/2000	2000-07-01	2001-07-01	1.0222
A/Auckland/599/2000	2000-07-01	2001-07-01	1.1244
A/WesternAustralia/7/2000	2000-07-01	2001-07-01	1.1817
A/Queensland/8/2000	2000-07-01	2001-07-01	1.2452
A/Canterbury/101/2000	2000-07-01	2001-07-01	0.9779
A/Canterbury/71/2000	2000-07-01	2001-07-01	1.1657
A/Canterbury/67/2000	2000-07-01	2001-07-01	1.2137
A/WesternAustralia/4/2000	2000-07-01	2001-07-01	1.1154
A/Canterbury/75/2000	2000-07-01	2001-07-01	1.1502
A/Canterbury/17/2000	2000-07-01	2001-07-01	1.5449
A/Canterbury/42/2000	2000-07-01	2001-07-01	1.4045
A/Canterbury/73/2000	2000-07-01	2001-07-01	1.2355
A/Canterbury/39/2000	2000-07-01	2001-07-01	1.4000
A/Wellington/9/2000	2000-07-01	2001-07-01	1.4820
A/Auckland/588/2000	2000-07-01	2001-07-01	1.2722
A/Canterbury/64/2000	2000-07-01	2001-07-01	1.4499
A/Canterbury/88/2000	2000-07-01	2001-07-01	1.2251
A/Auckland/589/2000	2000-07-01	2001-07-01	1.2560
A/HongKong/CUHK22644/2001	2000-07-01	2001-07-01	0.7926
A/Taiwan/124/2001	2000-07-01	2001-07-01	0.9102
A/HongKong/CUHK21733/2001	2000-07-01	2001-07-01	0.9001
A/HongKong/CUHK21675/2001	2000-07-01	2001-07-01	0.9690
A/HongKong/CUHK21421/2001	2000-07-01	2001-07-01	1.0802
A/HongKong/CUHK21891/2001	2000-07-01	2001-07-01	0.9932
A/Waikato/1/2001	2000-07-01	2001-07-01	1.1098
A/Canterbury/10/2001	2000-07-01	2001-07-01	0.8908
A/Queensland/9/2000	2000-07-01	2001-07-01	1.2767
A/WesternAustralia/9/2000	2000-07-01	2001-07-01	1.3837
