lbi	replicate	season_end	season_start	strain
3.1587	0	1998-07-01	1997-07-01	A/NewYork/515/1997
2.952	0	1998-07-01	1997-07-01	A/NewYork/524/1997
3.096	0	1998-07-01	1997-07-01	A/NewYork/513/1997
1.8172	0	1998-07-01	1997-07-01	A/NewYork/502/1998
2.1521	0	1998-07-01	1997-07-01	A/NewYork/510/1998
2.6444	0	1998-07-01	1997-07-01	A/NewYork/549/1998
2.6444	0	1998-07-01	1997-07-01	A/NewYork/530/1998
3.6966	0	1998-07-01	1997-07-01	A/HongKong/CUHK41114/1997
2.2859	0	1998-07-01	1997-07-01	A/Guangzhou/118/1998
1.569	0	1998-07-01	1997-07-01	A/Guangzhou/331/1998
1.498	0	1998-07-01	1997-07-01	A/Shenzhen/1195/1998
1.4707	0	1998-07-01	1997-07-01	A/Hainan/10/1998
1.3896	0	1998-07-01	1997-07-01	A/Guanger/211/1998
1.6516	0	1998-07-01	1997-07-01	A/Fujian/221/1998
3.9012	0	1998-07-01	1997-07-01	A/HongKong/CUHK41507/1997
3.928	0	1998-07-01	1997-07-01	A/HongKong/CUHK41459/1997
1.5992	0	1998-07-01	1997-07-01	A/Zhejiang/11/1998
1.9939	0	1998-07-01	1997-07-01	A/Sichuan/137/1998
2.2115	0	1998-07-01	1997-07-01	A/Wuhan/133/1998
2.2249	0	1998-07-01	1997-07-01	A/Guizhou/75/1998
0.6166	0	1998-07-01	1997-07-01	A/NewYork/521/1998
2.0973	0	1998-07-01	1997-07-01	A/HongKong/CUHK10186/1998
1.285	0	1998-07-01	1997-07-01	A/Fujian/55/1998
0.9559	0	1998-07-01	1997-07-01	A/Johannesburg/29/1998
1.0842	0	1998-07-01	1997-07-01	A/SouthAfrica/56/1998
2.0922	0	1998-07-01	1997-07-01	A/HongKong/CUHK10216/1998
2.1754	0	1998-07-01	1997-07-01	A/HongKong/CUHK41757/1997
2.1048	0	1998-07-01	1997-07-01	A/HongKong/CUHK10276/1998
1.9089	0	1998-07-01	1997-07-01	A/HongKong/CUHK10756/1998
2.0152	0	1998-07-01	1997-07-01	A/HongKong/CUHK10537/1998
0.9225	0	1998-07-01	1997-07-01	A/Sichuan/350/1998
1.027	0	1998-07-01	1997-07-01	A/Sichuan/326/1998
1.9729	0	1998-07-01	1997-07-01	A/HongKong/CUHK10660/1998
1.869	0	1998-07-01	1997-07-01	A/HongKong/CUHK10958/1998
2.4001	0	1998-07-01	1997-07-01	A/HongKong/CUHK41222/1997
0.9077	0	1998-07-01	1997-07-01	A/Mauritius/434/1998
2.0282	0	1998-07-01	1997-07-01	A/HongKong/CUHK10960/1998
1.0249	0	1998-07-01	1997-07-01	A/SouthAustralia/6/1998
0.9104	0	1998-07-01	1997-07-01	A/Malaysia/17276/1998
0.9264	0	1998-07-01	1997-07-01	A/Malaysia/17230/1998
0.8553	0	1998-07-01	1997-07-01	A/Dakar/3/1998
0.9204	0	1998-07-01	1997-07-01	A/Malaysia/17392/1998
0.8735	0	1998-07-01	1997-07-01	A/Malaysia/17332/1998
0.5102	0	1998-07-01	1997-07-01	A/Taiwan/317/1998
1.0207	0	1998-07-01	1997-07-01	A/Malaysia/13094/1997
1.167	0	1998-07-01	1997-07-01	A/Malaysia/13246/1997
0.6085	0	1998-07-01	1997-07-01	A/Malaysia/14590/1997
0.9424	0	1998-07-01	1997-07-01	A/Malaysia/13329/1997
0.9492	0	1998-07-01	1997-07-01	A/Malaysia/13328/1997
0.9244	0	1998-07-01	1997-07-01	A/Malaysia/13381/1997
0.4517	0	1998-07-01	1997-07-01	A/Taiwan/287/1998
0.4372	0	1999-07-01	1998-07-01	A/Chongqing/3/1999
0.4372	0	1999-07-01	1998-07-01	A/Chongqing/1/1999
0.4586	0	1999-07-01	1998-07-01	A/Guangzhou/499/1998
0.6659	0	1999-07-01	1998-07-01	A/Shanghai/180/1998
0.6143	0	1999-07-01	1998-07-01	A/Shanghai/195/1998
0.535	0	1999-07-01	1998-07-01	A/HongKong/CUHK19579/1998
0.6343	0	1999-07-01	1998-07-01	A/HongKong/CUHK18230/1998
0.7136	0	1999-07-01	1998-07-01	A/HongKong/CUHK18036/1998
0.5966	0	1999-07-01	1998-07-01	A/Guangzhou/933/1998
0.6464	0	1999-07-01	1998-07-01	A/Guangzhou/934/1998
0.6247	0	1999-07-01	1998-07-01	A/Cnic/113/1998
0.4781	0	1999-07-01	1998-07-01	A/Cnic/129/1998
0.765	0	1999-07-01	1998-07-01	A/HongKong/CUHK17707/1998
0.796	0	1999-07-01	1998-07-01	A/HongKong/CUHK17464/1998
0.8393	0	1999-07-01	1998-07-01	A/Shenzhen/1219/1998
0.7177	0	1999-07-01	1998-07-01	A/HongKong/CUHK18358/1998
0.7082	0	1999-07-01	1998-07-01	A/Guangzhou/720/1998
0.5861	0	1999-07-01	1998-07-01	A/Wuhan/46/1999
0.8962	0	1999-07-01	1998-07-01	A/Guangzhou/602/1998
0.6435	0	1999-07-01	1998-07-01	A/NewYork/455/1999
0.8362	0	1999-07-01	1998-07-01	A/HongKong/CUHK18194/1998
0.98	0	1999-07-01	1998-07-01	A/HongKong/CUHK17697/1998
1.3691	0	1999-07-01	1998-07-01	A/HongKong/CUHK16614/1998
1.0556	0	1999-07-01	1998-07-01	A/HongKong/CUHK18351/1998
1.0877	0	1999-07-01	1998-07-01	A/HongKong/CUHK18218/1998
1.2266	0	1999-07-01	1998-07-01	A/HongKong/CUHK17704/1998
0.9573	0	1999-07-01	1998-07-01	A/HongKong/CUHK18886/1998
1.0145	0	1999-07-01	1998-07-01	A/HongKong/CUHK18610/1998
1.2434	0	1999-07-01	1998-07-01	A/HongKong/CUHK17643/1998
1.2605	0	1999-07-01	1998-07-01	A/HongKong/CUHK17603/1998
0.8593	0	1999-07-01	1998-07-01	A/NewYork/458/1999
0.8695	0	1999-07-01	1998-07-01	A/NewYork/335/1999
0.8962	0	1999-07-01	1998-07-01	A/NewYork/456/1999
0.8477	0	1999-07-01	1998-07-01	A/NewYork/278/1999
0.8516	0	1999-07-01	1998-07-01	A/NewYork/263/1999
0.9221	0	1999-07-01	1998-07-01	A/NewYork/316/1999
0.93	0	1999-07-01	1998-07-01	A/Cnic/14/1998
1.0685	0	1999-07-01	1998-07-01	A/Townsville/1/1999
0.9779	0	1999-07-01	1998-07-01	A/NewYork/324/1999
1.2051	0	1999-07-01	1998-07-01	A/HongKong/CUHK50552/1998
1.1401	0	1999-07-01	1998-07-01	A/HongKong/CUHK50722/1998
1.3031	0	1999-07-01	1998-07-01	A/NewYork/250/1998
0.9694	0	1999-07-01	1998-07-01	A/NewYork/265/1999
1.1691	0	1999-07-01	1998-07-01	A/NewYork/287/1998
1.1079	0	1999-07-01	1998-07-01	A/NewYork/315/1999
0.181	0	1999-07-01	1998-07-01	A/Sichuan/418/1998
0.3724	0	1999-07-01	1998-07-01	A/Reunion/2369/1998
0.4044	0	1999-07-01	1998-07-01	A/NewYork/339/1999
0.4166	0	1999-07-01	1998-07-01	A/NewYork/289/1998
0.4469	0	1999-07-01	1998-07-01	A/NewYork/448/1998
0.5298	0	1999-07-01	1998-07-01	A/Netherlands/462/1998
0.4728	0	1999-07-01	1998-07-01	A/Dakar/2/1999
0.57	0	1999-07-01	1998-07-01	A/HongKong/CUHK17872/1998
0.456	0	1999-07-01	1998-07-01	A/NewYork/460/1999
0.5116	0	1999-07-01	1998-07-01	A/Netherlands/427/1998
0.416	0	1999-07-01	1998-07-01	A/NewYork/452/1999
0.5782	0	1999-07-01	1998-07-01	A/NewYork/247/1998
0.5428	0	1999-07-01	1998-07-01	A/Dakar/6/1998
0.5402	0	1999-07-01	1998-07-01	A/Malaysia/10759/1999
0.6284	0	1999-07-01	1998-07-01	A/HongKong/CUHK10100/1999
0.5352	0	1999-07-01	1998-07-01	A/NewYork/283/1999
0.6458	0	1999-07-01	1998-07-01	A/NewYork/277/1999
0.423	0	1999-07-01	1998-07-01	A/Christchurch/45/1998
0.409	0	1999-07-01	1998-07-01	A/NewYork/251/1998
0.4269	0	1999-07-01	1998-07-01	A/HongKong/CUHK12312/1999
1.1672	0	1999-07-01	1998-07-01	A/Moscow/10/1999-egg
0.7692	0	1999-07-01	1998-07-01	A/Fujian/54/1999
0.7065	0	1999-07-01	1998-07-01	A/Fujian/90/1999
0.7753	0	1999-07-01	1998-07-01	A/Shanghai/44/1999
0.8042	0	1999-07-01	1998-07-01	A/Shanghai/42/1999
0.7505	0	1999-07-01	1998-07-01	A/HongKong/CUHK12897/1999
1.9587	0	1999-07-01	1998-07-01	A/Harbin/36/1998
1.6745	0	1999-07-01	1998-07-01	A/HongKong/CUHK10133/1999
0.7845	0	1999-07-01	1998-07-01	A/HongKong/CUHK14672/1999
1.3654	0	1999-07-01	1998-07-01	A/NewCaledonia/1/1999
0.9659	0	1999-07-01	1998-07-01	A/NewCaledonia/11/1999
1.1269	0	1999-07-01	1998-07-01	A/HongKong/CUHK12580/1999
2.336	0	1999-07-01	1998-07-01	A/Guangzhou/62/1999
2.1337	0	1999-07-01	1998-07-01	A/HongKong/CUHK11255/1999
2.2298	0	1999-07-01	1998-07-01	A/Darwin/2/1999
1.9557	0	1999-07-01	1998-07-01	A/Guangzhou/118/1999
1.537	0	1999-07-01	1998-07-01	A/Guangzhou/242/1999
1.4564	0	1999-07-01	1998-07-01	A/HongKong/CUHK13763/1999
3.0552	0	1999-07-01	1998-07-01	A/HongKong/CUHK10151/1999
2.9595	0	1999-07-01	1998-07-01	A/Finland/620/1999
2.5845	0	1999-07-01	1998-07-01	A/HongKong/CUHK11230/1999
2.5797	0	1999-07-01	1998-07-01	A/HongKong/CUHK11237/1999
2.6682	0	1999-07-01	1998-07-01	A/Guangzhou/93/1999
2.9672	0	1999-07-01	1998-07-01	A/Guangzhou/57/1999
3.397	0	1999-07-01	1998-07-01	A/Zhejiang/4/1999
3.8043	0	1999-07-01	1998-07-01	A/Beijing/130/1998
1.936	0	1999-07-01	1998-07-01	A/HongKong/CUHK12572/1999
1.416	0	1999-07-01	1998-07-01	A/HongKong/CUHK14627/1999
1.3474	0	1999-07-01	1998-07-01	A/HongKong/CUHK14875/1999
2.6995	0	1999-07-01	1998-07-01	A/HongKong/CUHK11163/1999
3.3417	0	1999-07-01	1998-07-01	A/HongKong/CUHK10132/1999
2.6651	0	1999-07-01	1998-07-01	A/HongKong/CUHK11241/1999
0.4033	0	1999-07-01	1998-07-01	A/NewYork/336/1999
0.3523	0	1999-07-01	1998-07-01	A/Malaysia/17998/1998
0.3358	0	1999-07-01	1998-07-01	A/Malaysia/18121/1998
0.3358	0	1999-07-01	1998-07-01	A/Malaysia/18128/1998
0.4046	0	1999-07-01	1998-07-01	A/NewYork/314/1999
0.4037	0	1999-07-01	1998-07-01	A/NewYork/337/1999
0.4037	0	1999-07-01	1998-07-01	A/NewYork/284/1999
0.428	0	1999-07-01	1998-07-01	A/Dakar/19/1999
0.8941	0	1999-07-01	1998-07-01	A/NewYork/327/1999
2.1537	0	1999-07-01	1998-07-01	A/NewYork/249/1998
1.7803	0	1999-07-01	1998-07-01	A/NewYork/347/1999
1.7942	0	1999-07-01	1998-07-01	A/NewYork/340/1999
1.5812	0	1999-07-01	1998-07-01	A/NewYork/260/1999
1.3897	0	1999-07-01	1998-07-01	A/NewYork/398/1999
1.9523	0	1999-07-01	1998-07-01	A/NewYork/459/1999
1.8353	0	1999-07-01	1998-07-01	A/NewYork/397/1999
1.8244	0	1999-07-01	1998-07-01	A/NewYork/282/1999
1.8734	0	1999-07-01	1998-07-01	A/NewYork/332/1999
2.7684	0	1999-07-01	1998-07-01	A/NewYork/454/1999
2.6291	0	1999-07-01	1998-07-01	A/NewYork/326/1999
3.0353	0	1999-07-01	1998-07-01	A/NewYork/330/1998
2.5164	0	1999-07-01	1998-07-01	A/NewYork/264/1999
2.2936	0	1999-07-01	1998-07-01	A/NewYork/286/1999
3.1705	0	1999-07-01	1998-07-01	A/NewYork/323/1999
3.8121	0	1999-07-01	1998-07-01	A/NewYork/224/1998
3.8121	0	1999-07-01	1998-07-01	A/NewYork/313/1998
2.1357	0	1999-07-01	1998-07-01	A/NewYork/261/1999
3.9359	0	1999-07-01	1998-07-01	A/NewYork/254/1998
3.6535	0	1999-07-01	1998-07-01	A/NewYork/451/1999
3.6291	0	1999-07-01	1998-07-01	A/NewYork/453/1999
3.7696	0	1999-07-01	1998-07-01	A/NewYork/457/1999
2.8378	0	1999-07-01	1998-07-01	A/NewYork/311/1999
3.3732	0	1999-07-01	1998-07-01	A/NewYork/248/1999
4.0985	0	1999-07-01	1998-07-01	A/NewYork/317/1999
3.8351	0	1999-07-01	1998-07-01	A/NewYork/252/1999
4.2395	0	1999-07-01	1998-07-01	A/NewYork/328/1998
4.2395	0	1999-07-01	1998-07-01	A/NewYork/240/1998
1.9636	0	1999-07-01	1998-07-01	A/NewYork/266/1999
3.9599	0	1999-07-01	1998-07-01	A/NewYork/321/1999
3.9325	0	1999-07-01	1998-07-01	A/NewYork/262/1999
3.7317	0	1999-07-01	1998-07-01	A/NewYork/259/1999
3.5855	0	1999-07-01	1998-07-01	A/NewYork/255/1999
3.2851	0	1999-07-01	1998-07-01	A/NewYork/279/1999
3.4365	0	1999-07-01	1998-07-01	A/NewYork/290/1999
2.8737	0	1999-07-01	1998-07-01	A/NewYork/322/1999
2.5123	0	1999-07-01	1998-07-01	A/NewYork/280/1999
2.8018	0	1999-07-01	1998-07-01	A/NewYork/253/1999
2.8018	0	1999-07-01	1998-07-01	A/NewYork/320/1999
4.5217	0	1999-07-01	1998-07-01	A/NewYork/450/1999
4.647	0	1999-07-01	1998-07-01	A/NewYork/449/1999
3.8459	0	1999-07-01	1998-07-01	A/NewYork/318/1999
3.5011	0	1999-07-01	1998-07-01	A/NewYork/333/1999
4.04	0	1999-07-01	1998-07-01	A/NewYork/285/1999
4.8128	0	1999-07-01	1998-07-01	A/NewYork/304/1998
4.8128	0	1999-07-01	1998-07-01	A/NewYork/256/1998
3.865	0	1999-07-01	1998-07-01	A/NewYork/329/1999
3.9715	0	1999-07-01	1998-07-01	A/NewYork/331/1999
3.8228	0	1999-07-01	1998-07-01	A/NewYork/257/1999
3.6963	0	1999-07-01	1998-07-01	A/NewYork/338/1999
0.8121	0	1999-07-01	1998-07-01	A/NewYork/288/1999
0.8121	0	1999-07-01	1998-07-01	A/NewYork/325/1999
0.3982	0	2000-07-01	1999-07-01	A/Bulgaria/874/2000
0.4	0	2000-07-01	1999-07-01	A/Taiwan/365/1999
0.3802	0	2000-07-01	1999-07-01	A/Shenzhen/1090/1999
0.4933	0	2000-07-01	1999-07-01	A/Moscow/10/1999
0.4133	0	2000-07-01	1999-07-01	A/Bulgaria/113/2000
0.4223	0	2000-07-01	1999-07-01	A/Bangkok/62/2000
0.4619	0	2000-07-01	1999-07-01	A/HongKong/CUHK32796/1999
0.4385	0	2000-07-01	1999-07-01	A/Shenzhen/474/1999
0.4827	0	2000-07-01	1999-07-01	A/Harbin/59/1999
0.5907	0	2000-07-01	1999-07-01	A/HongKong/CUHK31510/1999
0.6079	0	2000-07-01	1999-07-01	A/HongKong/CUHK31448/1999
0.6079	0	2000-07-01	1999-07-01	A/HongKong/CUHK31421/1999
0.4729	0	2000-07-01	1999-07-01	A/Henan/102/1999
0.4729	0	2000-07-01	1999-07-01	A/Henan/104/1999
0.6796	0	2000-07-01	1999-07-01	A/HongKong/CUHK30314/1999
0.6618	0	2000-07-01	1999-07-01	A/HongKong/CUHK30605/1999
0.5369	0	2000-07-01	1999-07-01	A/HongKong/CUHK30419/1999
0.6689	0	2000-07-01	1999-07-01	A/HongKong/CUHK30423/1999
0.3993	0	2000-07-01	1999-07-01	A/India/2701/2000
0.6004	0	2000-07-01	1999-07-01	A/Korea/320/2000
0.6548	0	2000-07-01	1999-07-01	A/Netherlands/197/2000
0.7797	0	2000-07-01	1999-07-01	A/Netherlands/3/2000
0.7461	0	2000-07-01	1999-07-01	A/SouthAustralia/1/2000
0.8572	0	2000-07-01	1999-07-01	A/NewYork/141/1999
3.4079	0	2000-07-01	1999-07-01	A/HongKong/CUHK34193/1999
3.7221	0	2000-07-01	1999-07-01	A/HongKong/CUHK33829/1999
7.4559	0	2000-07-01	1999-07-01	A/HongKong/CUHK33885/1999
4.2936	0	2000-07-01	1999-07-01	A/NewYork/440/2000
5.4859	0	2000-07-01	1999-07-01	A/NewYork/184/1999
5.341	0	2000-07-01	1999-07-01	A/NewYork/186/1999
3.2748	0	2000-07-01	1999-07-01	A/Guangzhou/81/2000
3.4768	0	2000-07-01	1999-07-01	A/NewYork/178/2000
4.0465	0	2000-07-01	1999-07-01	A/Michigan/17/2000
2.647	0	2000-07-01	1999-07-01	A/Taiwan/1459/2000
5.2552	0	2000-07-01	1999-07-01	A/Scotland/262/1999
5.2725	0	2000-07-01	1999-07-01	A/NewYork/171/1999
4.5774	0	2000-07-01	1999-07-01	A/Canterbury/2/2000
4.5778	0	2000-07-01	1999-07-01	A/NewYork/158/2000
4.9661	0	2000-07-01	1999-07-01	A/NewYork/156/2000
5.3508	0	2000-07-01	1999-07-01	A/NewYork/172/1999
5.2349	0	2000-07-01	1999-07-01	A/NewYork/167/1999
5.1191	0	2000-07-01	1999-07-01	A/NewYork/169/2000
2.7165	0	2000-07-01	1999-07-01	A/Brazil/694/2000
5.1493	0	2000-07-01	1999-07-01	A/NewYork/168/2000
3.881	0	2000-07-01	1999-07-01	A/Auckland/583/2000
6.3548	0	2000-07-01	1999-07-01	A/SouthCarolina/NHRC0001/1999
4.9855	0	2000-07-01	1999-07-01	A/Arkansas/2/2000
5.0182	0	2000-07-01	1999-07-01	A/NewYork/429/2000
4.0398	0	2000-07-01	1999-07-01	A/HongKong/CUHK21128/2000
4.934	0	2000-07-01	1999-07-01	A/HongKong/CUHK20173/2000
5.6543	0	2000-07-01	1999-07-01	A/NewYork/425/1999
5.1499	0	2000-07-01	1999-07-01	A/NewYork/421/1999
5.8294	0	2000-07-01	1999-07-01	A/NewYork/161/1999
5.1589	0	2000-07-01	1999-07-01	A/NewYork/160/2000
4.1887	0	2000-07-01	1999-07-01	A/NelsonMarlborough/1/2000
5.4391	0	2000-07-01	1999-07-01	A/NewYork/140/1999
3.5907	0	2000-07-01	1999-07-01	A/NewYork/176/2000
6.6142	0	2000-07-01	1999-07-01	A/NewYork/149/1999
5.1877	0	2000-07-01	1999-07-01	A/NewYork/174/2000
5.2222	0	2000-07-01	1999-07-01	A/NewYork/431/2000
3.8951	0	2000-07-01	1999-07-01	A/NewYork/182/2000
5.0468	0	2000-07-01	1999-07-01	A/NewYork/436/2000
2.6324	0	2000-07-01	1999-07-01	A/Chile/5299/2000
2.5618	0	2000-07-01	1999-07-01	A/Santiago/5628/2000
5.4777	0	2000-07-01	1999-07-01	A/Brisbane/3/2000
7.1013	0	2000-07-01	1999-07-01	A/NewYork/434/2000
6.6516	0	2000-07-01	1999-07-01	A/Romania/175/2000
9.7065	0	2000-07-01	1999-07-01	A/NewYork/147/1999
8.6617	0	2000-07-01	1999-07-01	A/Oslo/5631/1999
6.314	0	2000-07-01	1999-07-01	A/NewYork/187/2000
6.6952	0	2000-07-01	1999-07-01	A/NewYork/152/2000
7.2903	0	2000-07-01	1999-07-01	A/NewYork/170/2000
6.6516	0	2000-07-01	1999-07-01	A/Texas/7/2000
6.9631	0	2000-07-01	1999-07-01	A/HongKong/CUHK20300/2000
7.7442	0	2000-07-01	1999-07-01	A/Oslo/841/2000
