strain,accession,originating_lab,submitting_lab,segment
A/Adjame/GR765/2011,EPI352740,Pasteur Institut Of Côte D'ivoire,National Institute For Medical Research,HA
A/Afghanistan/243/2016,EPI840542,National Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Afghanistan/2950/2009,EPI254577,U.s. Air Force School Of Aerospace Medicine,Centers For Disease Control And Prevention,HA
A/Afghanistan/428/2017,EPI1142462,National Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Afghanistan/438/2017,EPI1142486,National Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Afghanistan/616/2017,EPI1197029,National Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Afghanistan/833/2017,EPI1197229,National Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Afghanistan/AF1168/2008,EPI152131,?,Other Database Import,HA
A/Afghanistan/AF1169/2008,EPI152132,?,Other Database Import,HA
A/Afghanistan/AF1170/2008,EPI152133,?,Other Database Import,HA
A/Afghanistan/AF1171/2008,EPI152134,?,Other Database Import,HA
A/Afghanistan/AF1172/2008,EPI152135,?,Other Database Import,HA
A/Afghanistan/AF1173/2008,EPI152136,?,Other Database Import,HA
A/Agadir/87/2011,EPI352753,Institut National D'hygi&egrave;ne,National Institute For Medical Research,HA
A/Aichi/101/2008,EPI173650,?,Other Database Import,HA
A/Aichi/103/2008,EPI173651,?,Other Database Import,HA
A/Aichi/106/2008,EPI173652,?,Other Database Import,HA
A/Aichi/107/2008,EPI173653,?,Other Database Import,HA
A/Aichi/108/2016,EPI867794,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/113/2005,EPI226623,?,Other Database Import,HA
A/Aichi/114/2008,EPI173654,?,Other Database Import,HA
A/Aichi/115/2008,EPI169084,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/116/2013,EPI475366,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/118/2013,EPI475372,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/118/2019,EPI1583568,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/119/2013,EPI497554,Aichi Prefectural Institute Of Public Health,Aichi Prefectural Institute Of Public Health,HA
A/Aichi/123/2013,EPI498015,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/124/2013,EPI498017,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/125/2013,EPI505133,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/129/2013,EPI539365,Aichi Prefectural Institute Of Public Health,Aichi Prefectural Institute Of Public Health,HA
A/Aichi/130/2013,EPI539367,Aichi Prefectural Institute Of Public Health,Aichi Prefectural Institute Of Public Health,HA
A/Aichi/142/2016,EPI959283,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/145/2005,EPI1384,?,Other Database Import,HA
A/Aichi/145/2013,EPI539369,Aichi Prefectural Institute Of Public Health,Aichi Prefectural Institute Of Public Health,HA
A/Aichi/15/2006,EPI224507,?,Other Database Import,HA
A/Aichi/158/2009,EPI187670,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/161/2009,EPI187671,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/164/2005,EPI1382,?,Other Database Import,HA
A/Aichi/165/2005,EPI1380,?,Other Database Import,HA
A/Aichi/167/2005,EPI1376,?,Other Database Import,HA
A/Aichi/168/2011,EPI323243,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/17/2014,EPI539371,Aichi Prefectural Institute Of Public Health,Aichi Prefectural Institute Of Public Health,HA
A/Aichi/174/2005,EPI1392,?,Other Database Import,HA
A/Aichi/181/2004,EPI229249,?,Other Database Import,HA
A/Aichi/183/2004,EPI229250,?,Other Database Import,HA
A/Aichi/199/2018,EPI1312189,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/201/2006,EPI3041,?,Other Database Import,HA
A/Aichi/202/2019,EPI1630290,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/218/2009,EPI230143,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/218/2019,EPI1702570,Aichi Prefectural Institute Of Public Health,Centers For Disease Control And Prevention,HA
A/Aichi/221/2011,EPI328960,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/222/2009,EPI230144,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/233/2011,EPI348398,Chiba Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/234/2011,EPI348399,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/234/2017,EPI1018269,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/26/2007,EPI173633,?,Other Database Import,HA
A/Aichi/3/2007,EPI173637,?,Other Database Import,HA
A/Aichi/32/2008,EPI157312,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/343/2017,EPI1140028,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/36/2007,EPI173632,?,Other Database Import,HA
A/Aichi/46/2007,EPI173631,?,Other Database Import,HA
A/Aichi/49/2007,EPI173630,?,Other Database Import,HA
A/Aichi/57/2007,EPI173629,?,Other Database Import,HA
A/Aichi/62/2018,EPI1231377,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/64/2007,EPI173628,?,Other Database Import,HA
A/Aichi/66/2007,EPI173627,?,Other Database Import,HA
A/Aichi/67/2007,EPI173626,?,Other Database Import,HA
A/Aichi/68/2007,EPI173625,?,Other Database Import,HA
A/Aichi/689/2009,EPI230126,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/69/2007,EPI173616,?,Other Database Import,HA
A/Aichi/70/2007,EPI173645,?,Other Database Import,HA
A/Aichi/71/2007,EPI173646,?,Other Database Import,HA
A/Aichi/72/2007,EPI173647,?,Other Database Import,HA
A/Aichi/72/2008,EPI157313,?,National Institute Of Infectious Diseases (niid),HA
A/Aichi/73/2008,EPI173619,?,Other Database Import,HA
A/Aichi/75/2008,EPI168535,?,Other Database Import,HA
A/Aichi/78/2007,EPI173648,?,Other Database Import,HA
A/Aichi/78/2008,EPI173621,?,Other Database Import,HA
A/Aichi/79/2007,EPI173617,?,Other Database Import,HA
A/Aichi/79/2008,EPI173622,?,Other Database Import,HA
A/Aichi/80/2007,EPI174895,?,Other Database Import,HA
A/Aichi/81/2007,EPI174896,?,Other Database Import,HA
A/Aichi/83/2012,EPI375618,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/89/2012,EPI394967,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/9/2016,EPI726900,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/91/2008,EPI168536,?,Other Database Import,HA
A/Aichi/96/2008,EPI173623,?,Other Database Import,HA
A/Aichi/96/2015,EPI624502,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Aichi/98/2008,EPI173649,?,Other Database Import,HA
A/Aichi/98/2012,EPI418078,Aichi Prefectural Institute Of Public Health,National Institute Of Infectious Diseases (niid),HA
A/Akita/1/2015,EPI576154,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/10/2010,EPI294069,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/12/2006,EPI145690,?,Other Database Import,HA
A/Akita/14/2018,EPI1278951,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/20/2017,EPI1118559,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/30/2005,EPI145429,?,Other Database Import,HA
A/Akita/34/2009,EPI187672,?,National Institute Of Infectious Diseases (niid),HA
A/Akita/56/2011,EPI328952,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/60/2019,EPI1627370,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Akita/69/2002,EPI608458,?,Other Database Import,HA
A/Akita/7/2010,EPI294017,Akita Research Center For Public Health And Environment,National Institute Of Infectious Diseases (niid),HA
A/Alabama/10/2010,EPI301731,Alabama State Laboratory,Centers For Disease Control And Prevention,HA
A/Alabama/10/2019,EPI1382046,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/11/2015,EPI651672,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/11/2019,EPI1381904,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/13/2016,EPI865270,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/14/2016,EPI862497,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/15/2019,EPI1397148,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/16/2019,EPI1397155,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/17/2012,EPI397564,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/18/2012,EPI404944,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/18/2017,EPI1006238,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/19/2017,EPI1006246,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/2/2012,EPI356607,Alabama State Laboratory,Centers For Disease Control And Prevention,HA
A/Alabama/20/2017,EPI1006254,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/21/2017,EPI1006230,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/23/2019,EPI1597263,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/3/2011,EPI319632,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/3/2012,EPI363030,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/3101/2012,EPI424264,?,Other Database Import,HA
A/Alabama/3719/2014,EPI532090,?,Other Database Import,HA
A/Alabama/4/2011,EPI349374,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/4/2014,EPI537886,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/4/2015,EPI584575,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/4006/2014,EPI638109,?,Other Database Import,HA
A/Alabama/4025/2014,EPI638128,?,Other Database Import,HA
A/Alabama/4732/2015,EPI671857,?,Other Database Import,HA
A/Alabama/5/2010,EPI287084,U.s. Air Force School Of Aerospace Medicine,National Institute For Medical Research,HA
A/Alabama/5/2012,EPI367490,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/5/2014,EPI550857,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/5/2015,EPI588597,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/5/2016,EPI712402,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/6/2014,EPI550864,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/6/2018,EPI1182915,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/7/2010,EPI301010,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/7/2012,EPI371993,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/7/2013,EPI462823,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/8/2010,EPI301728,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/8/2012,EPI375094,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/8/2015,EPI631834,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/9/2015,EPI649394,Adph Bureau Of Clinical Laboratories,Centers For Disease Control And Prevention,HA
A/Alabama/AF1350/2008,EPI153138,?,Other Database Import,HA
A/Alabama/AF1351/2008,EPI153139,?,Other Database Import,HA
A/Alabama/AF1361/2008,EPI153149,?,Other Database Import,HA
A/Alabama/AF1363/2008,EPI153151,?,Other Database Import,HA
A/Alabama/AF1776/2008,EPI154417,?,Other Database Import,HA
A/Alabama/AF1802/2008,EPI163734,?,Other Database Import,HA
A/Alabama/AF1814/2008,EPI163746,?,Other Database Import,HA
A/Alabama/AF2156/2010,EPI276248,?,Other Database Import,HA
A/Alabama/AF2692/2010,EPI308948,?,Other Database Import,HA
A/Alabama/UR06-0482/2007,EPI71210,?,Other Database Import,HA
A/Alabama/UR06-0545/2007,EPI70792,?,Other Database Import,HA
A/Alabama/WRAIR1242P/2009,EPI325689,?,Other Database Import,HA
A/Alagoas/900/2019,EPI1758011,Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs),Centers For Disease Control And Prevention,HA
A/Alaska/1/2011,EPI302276,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/1/2013,EPI445979,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/1/2014,EPI508681,Alaska State Public Health Laboratory,Centers For Disease Control And Prevention,HA
A/Alaska/10/2014,EPI533462,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/10/2015,EPI624257,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/102/2015,EPI670515,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/104/2015,EPI679342,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/106/2015,EPI679358,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/107/2015,EPI679366,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/109/2015,EPI679383,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/11/2014,EPI537073,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/110/2015,EPI679390,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/111/2015,EPI679398,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/112/2015,EPI670531,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/113/2015,EPI670539,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/114/2015,EPI670547,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/115/2015,EPI670555,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/116/2015,EPI673792,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/117/2015,EPI715122,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/118/2015,EPI688283,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/119/2015,EPI711003,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/121/2015,EPI695974,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/122/2015,EPI688290,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/123/2015,EPI688298,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/124/2015,EPI688306,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/125/2015,EPI688313,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/126/2015,EPI688321,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/128/2015,EPI688337,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/129/2015,EPI688345,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/13/2011,EPI438309,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/13/2014,EPI533466,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/13/2015,EPI629705,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/13/2017,EPI1017271,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/130/2015,EPI688352,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/132/2015,EPI688368,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/134/2015,EPI688384,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/135/2015,EPI643534,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/136/2015,EPI643563,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/137/2015,EPI643611,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/139/2015,EPI643651,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/14/2001,EPI609689,?,Other Database Import,HA
A/Alaska/14/2013,EPI492723,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/14/2014,EPI1506358,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/14/2015,EPI631630,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/140/2015,EPI643627,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/142/2015,EPI643556,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/143/2015,EPI643635,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/144/2015,EPI643579,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/145/2015,EPI644103,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/148/2015,EPI643510,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/149/2015,EPI643526,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/15/2011,EPI319642,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/15/2014,EPI537079,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/150/2015,EPI643518,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/151/2015,EPI683348,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/152/2015,EPI683372,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/153/2015,EPI683387,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/155/2015,EPI683411,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/159/2015,EPI683545,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/16/2011,EPI319645,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/16/2012,EPI394840,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/16/2014,EPI533477,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/160/2015,EPI667996,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/163/2015,EPI679896,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/164/2015,EPI679904,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/165/2015,EPI679912,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/166/2015,EPI679920,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/17/2003,EPI115835,?,Other Database Import,HA
A/Alaska/17/2011,EPI340909,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/17/2014,EPI533478,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/17/2015,EPI631646,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/170/2015,EPI679944,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/171/2015,EPI679952,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/172/2015,EPI679960,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/173/2015,EPI688433,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/174/2015,EPI679968,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/176/2015,EPI679981,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/178/2015,EPI679997,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/179/2015,EPI680131,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/18/2014,EPI533479,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/18/2015,EPI629697,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/184/2015,EPI680139,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/185/2015,EPI686024,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/187/2015,EPI680147,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/19/2016,EPI776242,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/190/2015,EPI680169,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/191/2015,EPI680177,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/193/2015,EPI680193,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/194/2015,EPI688441,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/195/2015,EPI712410,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/196/2015,EPI688448,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/197/2015,EPI688456,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/198/2015,EPI688463,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/199/2015,EPI715138,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/2/2004,EPI116098,?,Other Database Import,HA
A/Alaska/2/2010,EPI278802,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/2/2013,EPI443733,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/2/2018,EPI1180760,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/20/2012,EPI394775,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
A/Alaska/20/2014,EPI533480,Alaska State Virology Lab,Centers For Disease Control And Prevention,HA
